,,PE_RATIO,EV_TO_T12M_EBITDA,INVENT_TURN,EBIT_MARGIN,NET_DEBT_TO_EBITDA,NET_FIX_ASSET_TURN,TRAILING_12M_CASH_FLOW_MARGIN,TRAIL_12M_NET_SALES
1581 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1387 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-121.1930466,#N/A N/A,0.068363901,25.25735803,909.822
64 HK Equity,20161231,6.069153005,4.014474667,#N/A N/A,#N/A N/A,-4.066697735,4.128591617,#N/A N/A,524.391
288 HK Equity,20161231,12.79224999,6.702052507,6.310633649,8.612573985,1.222569135,4.433722492,7.759705457,21457
444 HK Equity,20161231,#N/A N/A,#N/A N/A,0.617852051,-53.39079628,#N/A N/A,19.69725942,-32.43340207,331.692
2382 HK Equity,20161231,123.9602694,18.16610647,7.84797143,9.078122858,-0.768891599,9.258006921,9.755032762,11954.619
1565 HK Equity,20161231,#N/A N/A,37.58919053,#N/A N/A,33.67617512,1.58482589,0.305482787,45.47254322,781.41
1239 HK Equity,20161231,#N/A N/A,118.1206785,15.6034719,4.05156155,8.068626282,3.65837618,4.524884527,192.469
2898 HK Equity,20161231,72.93665935,#N/A N/A,6.146524213,-6.189115654,#N/A N/A,11.94740592,-4.564018381,176.051
474 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-813.1412064,#N/A N/A,0.700828263,-260.9768344,161.317
8083 HK Equity,20161231,#N/A N/A,#N/A N/A,1.764507297,-273.6445112,#N/A N/A,6.598094201,-104.6132009,60.587
732 HK Equity,20161231,3.789537093,7.383707741,7.911042975,6.052031134,2.033226868,2.702004702,6.808268241,19631.938
3333 HK Equity,20161231,76.16058955,15.64223892,0.261546102,18.94242194,9.002258349,1.163286362,-17.15709267,142884.791
688 HK Equity,20161231,6.793666945,4.345856474,0.59500051,32.03380639,-0.15786536,2.600591825,34.4111671,170205.808
1055 HK Equity,20161231,12.37026157,6.425475325,52.51968055,9.415914977,3.322994606,0.6855488,19.40251853,111970
1366 HK Equity,20161231,1.749521349,7.419671726,2.168370349,10.80205265,3.318205838,8.49811976,9.669247406,9043.92
1186 HK Equity,20161231,7.948394692,#N/A N/A,2.052294933,3.500936061,#N/A N/A,13.4620011,3.622146507,599581.987
8086 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-19.53164088,#N/A N/A,195.2789448,-14.91584446,399.736
17 HK Equity,20161231,11.79978396,8.85826505,0.542795049,29.58166863,3.998112629,0.418149969,9.882659057,59570
519 HK Equity,20161231,1.187752978,285.0964027,#N/A N/A,3.699816321,-550.868743,0.019089074,-442.5872474,7.622
520 HK Equity,20161231,35.2857472,5.004994773,12.64776306,11.71185247,-3.000322784,7.378198973,14.80975672,2566.477
8213 HK Equity,20161231,#N/A N/A,#N/A N/A,20.74738599,-14.91945288,#N/A N/A,8.440556847,-8.469531541,341.353
362 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-269.1054173,#N/A N/A,0.021666101,76.83308931,68.3
8022 HK Equity,20161231,#N/A N/A,#N/A N/A,3.40604197,-33.13320547,#N/A N/A,2.178751665,-99.96479232,107.931
8190 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,12.44530271,#N/A N/A,21.66792789,-337.3954845,48.677
3377 HK Equity,20161231,13.31290337,9.198026143,0.372109568,23.46077904,4.779451694,1.767737148,25.14729628,25047.476
524 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-97.08957333,#N/A N/A,5.886342635,-217.9099557,63.702
613 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-497.535409,#N/A N/A,0.412726617,2821.189243,32.054
689 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-107.6890728,#N/A N/A,0.690012187,-302.5417171,59.448
6881 HK Equity,20161231,5.161328508,2.732627283,#N/A N/A,#N/A N/A,-0.947960963,62.62576425,#N/A N/A,25479.574
1680 HK Equity,20161231,#N/A N/A,89.34752698,27.15108662,-18.15175336,22.30062145,0.212771188,-9.556062385,1403.936
2212 HK Equity,20161231,#N/A N/A,#N/A N/A,0.702345416,-120.7535795,#N/A N/A,0.369031397,-181.3112283,6.635
442 HK Equity,20161231,#N/A N/A,72.41661967,3.382902412,-0.042091596,15.26301936,2.822852396,4.109816259,560.682
1094 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-146.4247806,#N/A N/A,27.92538198,-14.74900397,730.151
555 HK Equity,20161231,#N/A N/A,6.960077055,4.239011795,21.54080786,2.419051483,8.490810598,-1.673273536,1380.886
390 HK Equity,20161231,8.045400258,10.12219776,4.061172199,3.012067147,3.639907649,8.886990434,6.019828738,603871
941 HK Equity,20161231,10.90596857,4.433251761,#N/A N/A,15.26608296,-1.857792781,0.995795442,38.68149848,697959
660 HK Equity,20161231,#N/A N/A,#N/A N/A,7.670890952,-10.93299039,#N/A N/A,5.663967838,0.747381568,404.345
8182 HK Equity,20161231,#N/A N/A,10.29043228,9.089602515,12.83923388,1.198595194,1.060576729,-23.37909267,78.891
479 HK Equity,20161231,2.635542133,#N/A N/A,26.18900239,-20.30194961,#N/A N/A,20.33864216,-27.27032723,223.481
8278 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
274 HK Equity,20161231,#N/A N/A,#N/A N/A,8.58633674,-72.89950793,#N/A N/A,3.494207429,-104.4812252,38.003
1128 HK Equity,20161231,39.00146346,23.78736948,1.381356556,14.77351566,8.04009453,0.601886059,19.4375169,18531.899
1889 HK Equity,20161231,#N/A N/A,#N/A N/A,8.815891622,-1.290861389,-6.70627237,0.655089321,19.26800761,482.546
2282 HK Equity,20161231,17.31807912,12.87607098,#N/A N/A,18.98090629,2.472999583,0.971914132,20.68830587,15121.475
1898 HK Equity,20161231,#N/A N/A,19.34980523,7.121810223,2.675598992,10.03398616,0.335798174,8.412872366,55825.107
850 HK Equity,20161231,#N/A N/A,15.77321157,1740.726278,0.677384571,0.830256127,85.76750774,-1.053808914,9930.548
336 HK Equity,20161231,6.087383361,2.788107631,1.613600422,41.290072,-2.570633026,2.807460286,32.5746115,4062.883531
354 HK Equity,20161231,17.41105967,10.6235281,87.26309206,9.069329678,1.729289373,8.834188697,3.025272736,5625.311
880 HK Equity,20161231,25.73846533,5.149468124,3.729898517,3.624688262,-4.924168297,2.601769062,3.733479618,43385.8
1117 HK Equity,20161231,#N/A N/A,#N/A N/A,4.970501203,-6.609492022,#N/A N/A,0.924520951,17.65943842,4618.131
275 HK Equity,20161231,5.098039029,#N/A N/A,0.005318175,-1070.114242,#N/A N/A,0.008621066,187.2886519,39.39
816 HK Equity,20161231,5.364355826,8.39425417,#N/A N/A,35.09016476,6.550031904,0.213953188,36.83026964,16048.343
8238 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
860 HK Equity,20161231,#N/A N/A,#N/A N/A,0.900680913,-31.48891042,#N/A N/A,14.07292761,-121.4965042,381.89
2633 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
128 HK Equity,20161231,#N/A N/A,#N/A N/A,1.569929859,-41.22318514,#N/A N/A,1.680450041,4.22311214,191.778
1227 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-5.400953991,#N/A N/A,-107.001
521 HK Equity,20161231,26.15415084,26.80775219,11.68888889,-51.9475615,-14.43950076,0.097550963,-175.4761006,148.288
268 HK Equity,20161231,86.45759574,9.184172012,57.80313966,18.74137259,-0.937883451,1.817952103,37.72670509,1671.996
835 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-488.3623328,#N/A N/A,2.368644507,-351.1410335,11.437
378 HK Equity,20161231,#N/A N/A,294.0779461,#N/A N/A,26.28526748,0.838491866,0.576226481,-648.4573532,61.388
1591 HK Equity,20161231,8.116882935,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,282.431
1089 HK Equity,20161231,#N/A N/A,9.720644007,#N/A N/A,#N/A N/A,1.256121499,#N/A N/A,#N/A N/A,#N/A N/A
646 HK Equity,20161231,#N/A N/A,#N/A N/A,2.400881609,-69.50330942,#N/A N/A,2.923355216,115.4680461,71.916
8066 HK Equity,20161231,#N/A N/A,#N/A N/A,193.6207326,-0.991789611,#N/A N/A,82.10473258,-0.725040246,2820.515429
8089 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-817.8038489,#N/A N/A,0.081311766,-2554.152516,9.717
2388 HK Equity,20161231,12.21957915,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.232416892,#N/A N/A,64729
1323 HK Equity,20161231,#N/A N/A,#N/A N/A,5.49786805,-60.39933152,#N/A N/A,8.777343147,-52.45902601,170.535
933 HK Equity,20161231,18.00158414,9.883118169,67.4234445,3.184604023,2.530213452,2.818091466,6.003619646,48071
1683 HK Equity,20161231,26.04166667,18.83148767,#N/A N/A,23.63796209,-5.3710475,41.04758535,23.33456874,116.021
267 HK Equity,20161231,10.85041509,7.668148392,#N/A N/A,#N/A N/A,5.288581939,2.374331673,#N/A N/A,518687
1109 HK Equity,20161231,14.60489933,5.12475699,0.388415863,31.3742664,1.05905771,1.139274193,27.07592331,92379.50731
309 HK Equity,20161231,#N/A N/A,8.894641042,#N/A N/A,4.19695825,-2.963563132,14.58606752,0.297549014,322.972
6863 HK Equity,20161231,8.779209296,24.85997818,1.873784826,26.87889045,3.914166108,0.425271005,86.46769167,4905.608
272 HK Equity,20161231,29.01064408,54.31149183,0.171452754,16.42180868,34.79666959,0.098243138,34.2474698,6126
2014 HK Equity,20161231,14.60415721,5.133612457,2.095367112,26.01667688,0.508425482,1.108061715,20.28553786,829.172
1572 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,87.60158669,-0.999984322,#N/A N/A,-11.65137107,144.704
1918 HK Equity,20161231,44.77418793,12.44144555,0.443643393,15.85394788,7.663822279,407.2543251,38.51272342,28154.306
956 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1628 HK Equity,20161231,6.65516764,4.598423209,0.301301186,33.4052885,2.51961211,1.468958563,14.85096822,11017.046
751 HK Equity,20161231,2.745458121,4.7987424,5.430926845,6.337914681,-0.481374531,6.54713995,4.477749384,43437
489 HK Equity,20161231,5.144193612,23.96675163,11.85837712,0.705157579,-1.186356707,8.461389338,4.578008587,117846
149 HK Equity,20161231,#N/A N/A,199.552454,0.110220814,-0.346850856,148.46927,0.182866164,-33.80299438,634.855
122 HK Equity,20161231,1122.661167,#N/A N/A,1.438270657,-12.9386336,#N/A N/A,0.176493592,3.681792495,313.217
1102 HK Equity,20161231,#N/A N/A,#N/A N/A,183.3201693,-47.982886,#N/A N/A,2.764880151,-178.9896447,133.458
1103 HK Equity,20161231,0.398481037,8.945799592,20.64458948,8.135932398,1.048397198,48.4761712,-19.89741073,5268.972
1177 HK Equity,20161231,45.12708967,10.04716087,3.697840192,21.44974691,-1.407435355,4.804695491,#N/A N/A,12996.4429
2007 HK Equity,20161231,22.52166014,8.854865271,0.563671694,13.31037079,3.800637803,1.654563917,-17.43514747,123257.558
2012 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1182 HK Equity,20161231,#N/A N/A,90.94136674,50.51396648,-7.675951384,-0.50499002,1.906142666,-37.44764499,155.668
3983 HK Equity,20161231,45.08030612,2.617930909,6.291381405,5.259604052,-1.644199828,0.956027698,8.507899529,9804.065
265 HK Equity,20161231,#N/A N/A,#N/A N/A,1.247416257,-30.38934461,#N/A N/A,119.4649299,45.3122641,59.613
557 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-28.61235472,#N/A N/A,2.133241934,-12.62268118,91.803
471 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-78.66518192,#N/A N/A,21.37373055,-103.3566016,10.914581
868 HK Equity,20161231,13.72915415,8.232909328,5.675537908,20.04748282,1.430925641,0.896780821,24.97607662,12062.467
2326 HK Equity,20161231,7.346708261,53.48193666,56.27488562,10.73977078,-0.274985643,12.21406206,-44.72153657,1753.408
1211 HK Equity,20161231,19.09103637,12.53696391,5.128265701,8.816620343,2.743956427,2.055226238,-2.668234753,90922.697
570 HK Equity,20161231,18.38340046,10.22439293,2.694623874,19.16289583,0.609380422,3.49696011,19.08698401,5486.629
8192 HK Equity,20161231,#N/A N/A,#N/A N/A,15.41949209,-25.71510123,#N/A N/A,6.524555709,-23.11362107,245.245
8021 HK Equity,20161231,#N/A N/A,587.3650653,9.548394316,-2.170975953,-27.88202437,4.715418478,-240.095792,172.457
286 HK Equity,20161231,24.07739841,28.6661159,13.84694764,10.23729369,0.248271103,8.728087735,20.318139,610.425
139 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1658 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
826 HK Equity,20161231,131.9278068,8.975903285,1.44853492,5.565919725,6.428027099,0.967501826,20.06415736,3140.092
8181 HK Equity,20161231,24.47364956,5.849550824,#N/A N/A,2.776498574,-6.747271759,109.4465162,2.910614264,383.993102
30 HK Equity,20161231,#N/A N/A,24.41131993,9922.170545,4.142235429,2.010089684,3.139938358,-99.85376525,206.772337
1326 HK Equity,20161231,#N/A N/A,54.5384103,299.7136259,-0.530488529,-4.384727538,10.53816825,3.967686797,446.381
2268 HK Equity,20161231,1.136487215,6.918419676,8.920170238,22.82945748,1.945855483,0.704695427,16.22611442,1750.795
308 HK Equity,20161231,12.09504141,7.355909978,2.006853157,19.00433016,-3.22640523,0.437628733,23.78634327,4124.56
3389 HK Equity,20161231,63.87819007,11.12145803,1.411627522,3.608970929,3.461966485,7.686893887,7.58336717,10922.615
1308 HK Equity,20161231,20.09488733,7.906469531,#N/A N/A,11.45524601,0.749699126,1.430004743,14.16820318,1239.275
351 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,-205.3896519,#N/A N/A,0.006234002,-911.3302459,12.524
395 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
39 HK Equity,20161231,8.957280846,31.3923547,18.12227994,5.758276689,-0.104294988,8.515110865,-12.63878718,929.931
8 HK Equity,20161231,16.35320094,6.809002722,17.91793453,13.79162894,3.205227984,1.784340567,24.59251434,39756
297 HK Equity,20161231,#N/A N/A,199.2822197,3.913440571,-1.535316648,121.3835542,4.231129593,-0.301722101,18329.118
1293 HK Equity,20161231,#N/A N/A,15.12956291,6.566148394,2.229322479,3.899966933,4.675698181,#N/A N/A,20610.522
2638 HK Equity,20161231,19.25874095,12.90123732,5.766503001,46.17834395,5.017030729,0.160197271,72.82377919,11304
1728 HK Equity,20161231,8.988819637,7.831931628,7.630507785,4.690937488,4.787266842,6.825845782,0.56061386,30087.376
6136 HK Equity,20161231,4.969429694,9.068314709,177.699909,34.25052085,4.632846039,23.17272663,13.40413108,1954.017
1114 HK Equity,20161231,11.66251576,#N/A N/A,3.987733573,-13.36014489,#N/A N/A,2.492219612,-1.448285027,5290.257
8090 HK Equity,20161231,0.566424308,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.423262408,#N/A N/A,217.071
8072 HK Equity,20161231,29.38309365,5.122490007,#N/A N/A,50.21680173,0.460301446,25.79141361,-72.02932913,123.154
1332 HK Equity,20161231,#N/A N/A,#N/A N/A,5.890678756,-235.8421576,#N/A N/A,2.992098491,-259.6118771,115.685
235 HK Equity,20161231,#N/A N/A,37.48143927,#N/A N/A,30.2739612,-25.50999367,22.81922979,-458.4728121,180.135
3618 HK Equity,20161231,4.659780558,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7.066304194,#N/A N/A,35502.469
33 HK Equity,20161231,#N/A N/A,#N/A N/A,6.418849303,-81.67091895,#N/A N/A,3.7780693,-397.6433823,66.239
8368 HK Equity,20161231,#N/A N/A,1359.554178,796.6764706,1.116490194,-12.5753873,11.24592189,-40.35837505,109.271
209 HK Equity,20161231,#N/A N/A,#N/A N/A,2.711988249,-20.76006433,#N/A N/A,1.993644572,-62.83631757,243.111
2828 HK Equity,20161231,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
1115 HK Equity,20161231,11.01663858,12.80664395,4.593658105,45.59694982,-0.90944581,1.233901894,54.0391303,841.394
1019 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.32762979,#N/A N/A,669.967
381 HK Equity,20161231,#N/A N/A,#N/A N/A,2.308622079,-28.917821,#N/A N/A,2.901372115,-6.494032934,229.426
651 HK Equity,20161231,#N/A N/A,#N/A N/A,3.236529024,-98.38667929,#N/A N/A,0.400210275,-219.6499836,258.845
717 HK Equity,20161231,2.513488991,9.291645416,#N/A N/A,71.18681018,2.329128953,225.8593839,-99.2956911,986.215
8158 HK Equity,20161231,#N/A N/A,#N/A N/A,1.868754922,-594.5701624,#N/A N/A,0.296188739,-658.6065574,50.996
2009 HK Equity,20161231,4.508361224,#N/A N/A,0.667410732,11.73161049,#N/A N/A,1.348258897,-5.15998219,45595.41064
1175 HK Equity,20161231,1.099114311,10.33419558,21.26876692,4.603039225,0.948895689,4.564899952,12.04497274,1509.003
526 HK Equity,20161231,21.85736358,#N/A N/A,5.523098777,-9.070616883,#N/A N/A,0.800689834,-6.132884972,1034.88
31 HK Equity,20161231,1.174639187,1.448014482,7.575324759,111.4223488,-0.011834376,0.347428941,9.890063016,2813.248
388 HK Equity,20161231,47.28514438,8.204173328,#N/A N/A,67.67590212,-23.53292652,6.912142152,#N/A N/A,10503
515 HK Equity,20161231,#N/A N/A,#N/A N/A,6.714097927,-15.91237456,#N/A N/A,1.85394157,11.78087148,431.199
383 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.761991102,#N/A N/A,1854.601
197 HK Equity,20161231,#N/A N/A,#N/A N/A,6.075571326,-4.094938636,-12.92881027,1.326220151,4.674471847,1366.272
1208 HK Equity,20161231,#N/A N/A,54.94957445,3.494197031,-79.4336706,43.04274228,0.119360425,-21.55002811,1423.2
3368 HK Equity,20161231,#N/A N/A,13.67596799,#N/A N/A,-4.170277017,4.387310936,0.841093068,13.85685236,4106.25
1041 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
372 HK Equity,20161231,1.905813398,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.952295094,#N/A N/A,19.649
59 HK Equity,20161231,#N/A N/A,21.21347121,0.160482198,7.353321601,7.469277108,1.662497214,70.45605751,1372.305
1140 HK Equity,20161231,138.6208144,129.6044386,#N/A N/A,#N/A N/A,-99.96193857,616.7713499,#N/A N/A,111.944
270 HK Equity,20161231,26.05459377,11.20730592,25.34341861,52.34438371,-1.265638624,0.52211793,59.65719535,9805.818
1 HK Equity,20161231,8.946131101,12.23544545,#N/A N/A,14.08890672,3.336208323,1.44396591,17.0009583,269226
968 HK Equity,20161231,17.67356655,10.39947497,10.37441127,35.76616566,1.372604674,0.777762574,19.96990289,5871.661
358 HK Equity,20161231,88.66546525,15.43094032,14.46169237,0.634491738,1.797413567,8.857557814,-0.936236487,199924.274
467 HK Equity,20161231,20.25153375,2.165568602,7.837719755,17.05663123,0.29111103,0.765748279,69.56952424,4796.205
1138 HK Equity,20161231,6.337861578,#N/A N/A,25.23851941,16.2439248,#N/A N/A,0.340594508,114.9924056,15281.47614
1333 HK Equity,20161231,6.04319735,9.404420674,3.227092644,25.60911929,6.052455961,0.435118302,43.51511623,15954.141
8062 HK Equity,20161231,7.539682445,#N/A N/A,177.4385965,37.53751142,0.268659218,42.38341014,25.77088679,45.986
669 HK Equity,20161231,36.14973336,13.27078195,2.721890858,8.042639738,0.701196375,9.212340781,7.844112482,5249.657
2128 HK Equity,20161231,12.79581793,3.734279705,4.325968653,15.0388114,-0.115855515,2.173476635,26.23411241,15546.335
2198 HK Equity,20161231,#N/A N/A,7.774549597,7.991146118,3.703723608,6.34218253,0.956829729,8.663530001,5954.305
8242 HK Equity,20161231,#N/A N/A,#N/A N/A,2.639628528,-7.623200588,#N/A N/A,9.586502141,-418.960807,38.068
928 HK Equity,20161231,#N/A N/A,#N/A N/A,1.395711501,-429.7987236,#N/A N/A,2.782786885,-1431.52921,8.148
1069 HK Equity,20161231,#N/A N/A,#N/A N/A,4.316586627,-411.8215739,#N/A N/A,0.441490855,-380.8514247,11.792
295 HK Equity,20161231,#N/A N/A,35.76700409,374.0965217,2.634864817,9.254759256,0.315299692,-177.6641531,1530.477
1617 HK Equity,20161231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
207 HK Equity,20161231,23.15938335,9.649612286,0.188931693,64.25897512,4.729263804,0.115799965,22.42634479,5947.135
639 HK Equity,20161231,#N/A N/A,#N/A N/A,6.087856464,-85.25571087,#N/A N/A,0.131795968,26.43917567,1581.982
1679087D HK Equity,20161231,#N/A N/A,33.59962574,3.474857056,2.921180985,24.98516441,0.127586368,-4.330005219,588.221
1813 HK Equity,20161231,5.914439713,8.172348739,0.207928498,33.58396391,4.836381333,0.748481229,9.434145848,9866.447
527 HK Equity,20161231,#N/A N/A,9.848049952,#N/A N/A,27.46129008,4.768552294,0.172001894,-20.7720535,345.002
2211 HK Equity,20161231,#N/A N/A,#N/A N/A,7.7220323,-2.863252355,#N/A N/A,36.40065963,-1.38425686,4138.755
939 HK Equity,20170630,6.106401604,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5.867963516,#N/A N/A,1042209
364 HK Equity,20170630,#N/A N/A,1.163824437,5.31343426,314.3956989,-0.292847059,0.336498853,119.0329198,302.25
3988 HK Equity,20170630,5.22620288,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.652835342,#N/A N/A,875645
875 HK Equity,20170630,#N/A N/A,#N/A N/A,47.71766392,-209.3431064,#N/A N/A,1.286124415,-307.3244546,93.181
8171 HK Equity,20170630,#N/A N/A,#N/A N/A,#N/A N/A,-13.40744278,#N/A N/A,132.8126844,3.183892856,90.047
767 HK Equity,20170630,0.589484917,4.887903498,#N/A N/A,66.86574743,-0.927216251,53.63457267,9.198467372,555.386
136 HK Equity,20170630,#N/A N/A,1576.20271,25.28042681,5.081394384,-51.86728585,5.683896706,22.35270145,132.503
61 HK Equity,20170630,121.0526318,#N/A N/A,44.23123653,-99.0974136,#N/A N/A,0.158380707,-171.1187521,197.765
261 HK Equity,20170630,#N/A N/A,#N/A N/A,0.670334709,-20.51983584,#N/A N/A,4.25,-11.90150479,731
8207 HK Equity,20170630,0.970488713,30.99553522,#N/A N/A,#N/A N/A,2.957364039,39.94849321,#N/A N/A,1107.552
1096 HK Equity,20170630,#N/A N/A,#N/A N/A,1.671209007,-79.35435435,#N/A N/A,1.489188194,15.97774245,226.44
8315 HK Equity,20170630,105.5837585,14.75733269,#N/A N/A,4.674718901,-0.818343866,11.68060715,-0.521161054,146.212
997 HK Equity,20170630,204.9070594,17.00510011,139.5464391,29.4099847,8.016006458,0.188569504,#N/A N/A,518.834
988 HK Equity,20170630,#N/A N/A,#N/A N/A,30.93882958,-6.28445827,#N/A N/A,9.131471832,-2.329128452,3122.799
433 HK Equity,20170630,#N/A N/A,#N/A N/A,0.533392495,-134.0283746,#N/A N/A,0.157235113,-180.410853,256.004
1359 HK Equity,20170630,3.467086338,14.25954242,#N/A N/A,#N/A N/A,12.14510097,1.979214117,#N/A N/A,89102.556
1282 HK Equity,20170630,13.29663135,51.46734007,20.04345573,35.74530917,-4.1716412,5.128131165,-77.38539114,995.56
299 HK Equity,20170630,#N/A N/A,#N/A N/A,#N/A N/A,-468.819061,#N/A N/A,5.495901277,-18.00691979,155.207
992 HK Equity,20170630,14.20354388,5.477015053,13.59853495,1.81944904,0.106749651,21.07978603,5.080294333,43034.731
582 HK Equity,20170630,#N/A N/A,#N/A N/A,#N/A N/A,-63.72832099,#N/A N/A,0.620974917,-125.4291447,1600.742
8186 HK Equity,20170630,#N/A N/A,#N/A N/A,47.20310633,-108.385735,#N/A N/A,2.436361688,-249.8329009,45.482
2369 HK Equity,20170630,#N/A N/A,#N/A N/A,6.030108613,-21.08639367,#N/A N/A,7.348465229,-17.56565951,11162.473
857 HK Equity,20170630,24.28222637,#N/A N/A,#N/A N/A,4.579167738,#N/A N/A,1.053803485,14.00220781,1894187
902 HK Equity,20170630,8.304434963,#N/A N/A,19.33565399,11.79413039,#N/A N/A,0.574344556,15.65733779,140784.0645
24 HK Equity,20170630,#N/A N/A,#N/A N/A,38.38707644,-4.738036201,#N/A N/A,14.16031156,-2.485976533,2685.142
2823 HK Equity,20170630,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
386 HK Equity,20170630,8.938709288,#N/A N/A,11.02265524,3.107427937,#N/A N/A,2.532393343,8.636158997,2099035
1288 HK Equity,20170630,5.166981069,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5.080086699,#N/A N/A,783992
607 HK Equity,20170630,0.984431015,17.53830932,0.808258647,82.4028666,-0.385863076,0.761230019,24.46156209,4343.537
575 HK Equity,20170630,7.054359299,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,50.68181818,#N/A N/A,3.345
510 HK Equity,20170630,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.18369572,#N/A N/A,168.143
1733 HK Equity,20170630,0.130969347,2.617690592,30.29334806,8.634194422,0.095400562,19.24235678,2.559720795,13501.746
621 HK Equity,20170630,5.530490289,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8085 HK Equity,20170630,#N/A N/A,#N/A N/A,33862.28571,-44.07444065,#N/A N/A,13.68429494,-6.184070013,153.572
1051 HK Equity,20170630,18.16039579,#N/A N/A,0,-51.97265299,-83.63606741,0.061313313,256.8450892,29.985
8153 HK Equity,20170630,#N/A N/A,248.5974975,1.541507997,4.129427158,46.14398775,2.105826036,#N/A N/A,45.091
1194 HK Equity,20170630,#N/A N/A,41.83250547,3.905948456,-4.371463529,23.39296981,0.165479297,-10.00777404,766.654
377 HK Equity,20170630,1950.130564,27.69001723,2.392705505,7.025408968,17.60372584,1.006008392,#N/A N/A,3822.782684
8237 HK Equity,20170630,13.21003933,345.9288467,190.1462925,-1.940166053,2.139941547,0.110929423,5.311079492,52.336912
2800 HK Equity,20170630,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
