,,PE_RATIO,EV_TO_T12M_EBITDA,INVENT_TURN,EBIT_MARGIN,NET_DEBT_TO_EBITDA,NET_FIX_ASSET_TURN,TRAILING_12M_CASH_FLOW_MARGIN,TRAIL_12M_NET_SALES
474 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,141.706
883 HK Equity,20121231,7.683545289,4.33170746,#N/A N/A,35.93869862,-0.520862231,1.083573274,43.76715365,234644
120 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
832 HK Equity,20121231,11.15470104,4.008656485,0.583325729,27.81455134,1.824370242,5.616329789,-14.8225408,7134.654
175 HK Equity,20121231,56.90375538,6.376210452,11.28877497,11.03434039,0.893866766,2.649014337,5.148201978,21604.3
928 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,41.221
479 HK Equity,20121231,#N/A N/A,#N/A N/A,11.05836449,-5.151643966,#N/A N/A,269.5520833,#N/A N/A,284.647
830 HK Equity,20121231,#N/A N/A,#N/A N/A,4.82246129,-11.7960762,#N/A N/A,10.56570183,#N/A N/A,1049.137
2198 HK Equity,20121231,3.060237589,4.487275097,8.816145677,19.27536168,1.491592794,1.992242679,10.09478819,2269.27
692 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.139
1262 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
632 HK Equity,20121231,#N/A N/A,#N/A N/A,174.2066451,-6.776573438,#N/A N/A,10.72676425,#N/A N/A,450.685
165 HK Equity,20121231,17.90991902,16.39041967,#N/A N/A,#N/A N/A,-1.9480605,2.730241479,#N/A N/A,1542.353
55 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,638.928628
555 HK Equity,20121231,0.19443724,4.338214603,3.431509535,50.66626753,0.034968108,5.952972134,#N/A N/A,1997.621
267 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1333 HK Equity,20121231,9.32668886,4.93719502,4.214292665,20.23076217,0.673790245,1.635746836,13.12248947,12909.395
151 HK Equity,20121231,24.5245735,22.94934482,4.922007791,19.27019683,-0.381342781,3.251235538,17.55096163,20296.01641
123 HK Equity,20121231,6.175237074,6.284759889,0.154236363,50.68137607,3.038385144,0.898490323,-30.60385572,8875.862
688 HK Equity,20121231,12.80369722,7.175962779,0.333126401,44.97317918,1.080842746,2.92380939,4.726615787,53602.199
1777 HK Equity,20121231,7.35005126,4.481009569,0.295287898,39.78559092,2.564416555,0.950692669,-3.145641741,4791.868
596 HK Equity,20121231,689.7283531,#N/A N/A,10.30998824,0.455821469,-19.27864409,26.3592181,5.938849035,2262.728
884 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,54.93019929,1.979098397,#N/A N/A,-26.22564975,5637.622
8158 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.826
1124 HK Equity,20121231,0.459832519,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6267.096
2342 HK Equity,20121231,15.15605584,13.88541237,1.833948183,4.628995288,2.008200547,8.171311193,4.60213857,6400.633
958 HK Equity,20121231,38.11847359,9.813200837,#N/A N/A,63.9831454,7.07852049,0.098053093,44.46384084,3387.8
1525037D HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
735 HK Equity,20121231,#N/A N/A,7.600706326,6.599884473,28.91858842,4.394992331,0.21553149,23.57241041,1911.141
8586 HK Equity,20121231,#N/A N/A,#N/A N/A,56.99473432,-5.368305108,#N/A N/A,8.812716132,#N/A N/A,72.63
2222 HK Equity,20121231,8.852351099,5.210985911,4.508992903,10.17072508,-2.613398486,4.246066941,13.84394248,3666.681216
2366 HK Equity,20121231,22.91667255,6.314463855,1.004039328,15.46083235,2.870292364,5.112084669,#N/A N/A,620.193
1313 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3883 HK Equity,20121231,54.7011011,8.934712,0.29436086,22.13892719,5.584112162,1.677437155,-7.42511783,3118.9
721 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-7.174047594,#N/A N/A,-33.614
2318 HK Equity,20121231,32.76231571,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,317546
8103 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,68.965
851 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,-43.90233546,#N/A N/A,4.647720545,-75.82448691,70.65
698 HK Equity,20121231,10.91722621,3.306184304,3.587389882,12.32386904,0.675891221,2.962166242,11.13845345,3265.184
419 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,159.619
941 HK Equity,20121231,9.432054344,4.172547181,#N/A N/A,27.29475121,-1.475074274,1.149215737,43.49388097,544449
91 HK Equity,20121231,#N/A N/A,#N/A N/A,547.3809524,-450.6893593,#N/A N/A,0.777433092,#N/A N/A,34.96
83188 HK Equity,20121231,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
82 HK Equity,20121231,1.805565867,3.299484886,114.9033326,64.44693453,-1.080890171,12.82618524,53.89043306,618.453
8215 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
622 HK Equity,20121231,1015.624963,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,43.669
1224 HK Equity,20121231,14.0625979,5.635704424,0.412405823,21.92478423,1.70960492,0.656587707,3.500848499,7355.931
1228 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,-3223.960556,#N/A N/A,0.005769627,-257.8533163,21.093
1919 HK Equity,20121231,#N/A N/A,#N/A N/A,24.53532322,-12.74480458,#N/A N/A,1.103676084,-8.98709974,85194.637
3998 HK Equity,20121231,18.80102641,8.033133963,3.204283368,19.35746178,-1.217014825,15.04806596,17.36699179,8376.062
571 HK Equity,20121231,1.145188552,8.568336661,#N/A N/A,145.2798615,0.753448566,#N/A N/A,-38.45867912,702.151
